id,organ,magnification,pixel_size_um_embedded,pixel_size_um_estimated,fullres_px_width,fullres_px_height
MEND52,Lung,20x,,0.572493506919257,14285,14438
MEND85,Lung,40x,,0.172018341554303,47616,48128
MEND90,Lung,40x,,0.172039785851711,47616,48128
MEND89,Lung,40x,,0.172047941480717,47616,48128
MEND86,Lung,40x,,0.1720821943337,46592,48128
MEND51,Lung,40x,,0.172116998796193,47616,48128
NCBI537,Lung,40x,,0.172116998796193,47616,48128
MEND88,Lung,40x,,0.172187393542097,48640,46592
MEND87,Lung,40x,,0.172199191305267,48640,46592
MEND41,Lung,40x,,0.172334962468885,47616,48128
NCBI535,Lung,40x,,0.172334962468885,47616,48128
MEND47,Lung,40x,,0.172512482107022,47616,48128
NCBI534,Lung,40x,,0.172512482107022,47616,48128
MEND45,Lung,40x,,0.17263701456434,47616,48128
NCBI536,Lung,40x,,0.17263701456434,47616,48128
NCBI884,Lung,40x,0.212500015937501,0.2125,25630,28964
NCBI883,Lung,40x,0.212500015937501,0.2125,17145,16597
NCBI882,Lung,40x,0.212500015937501,0.2125,17141,20708
NCBI881,Lung,40x,0.212500015937501,0.2125,19973,16596
NCBI880,Lung,40x,0.212500015937501,0.2125,17141,16594
NCBI879,Lung,40x,0.212500015937501,0.2125,14312,16598
NCBI876,Lung,40x,0.212500015937501,0.2125,14301,16598
NCBI875,Lung,40x,0.212500015937501,0.2125,17132,12491
NCBI873,Lung,40x,0.212500015937501,0.2125,17134,20714
NCBI870,Lung,40x,0.212500015937501,0.2125,17135,16593
NCBI867,Lung,40x,0.212500015937501,0.2125,28462,33048
NCBI866,Lung,40x,0.212500015937501,0.2125,19966,20710
NCBI865,Lung,40x,0.212500015937501,0.2125,28454,28935
NCBI864,Lung,40x,0.212500015937501,0.2125,25624,33047
NCBI861,Lung,40x,0.212500015937501,0.2125,17137,16596
NCBI860,Lung,40x,0.212500015937501,0.2125,19969,16597
NCBI859,Lung,40x,0.212500015937501,0.2125,17140,16592
NCBI858,Lung,40x,0.212500015937501,0.2125,14306,12484
NCBI857,Lung,40x,0.212500015937501,0.2125,19964,24815
NCBI856,Lung,40x,0.212500015937501,0.2125,17136,24809
TENX62,Lung,40x,0.264583333333333,0.27330518698616,35637,29395
TENX141,Lung,40x,0.273771534,0.273643086791955,15513,39361
TENX169,Lung,40x,0.264583333333333,0.273687496942159,25078,43448
TENX171,Lung,40x,0.264583333333333,0.273696892898189,26720,43270
TENX72,Lung,40x,0.264583333333333,0.273711234884543,38510,32875
TENX163,Lung,40x,0.264583333333333,0.273716933152281,54639,29814
TENX168,Lung,40x,0.264583333333333,0.273755424119274,25625,43630
TENX167,Lung,40x,0.264583333333333,0.273769464129103,38362,59538
TENX170,Lung,40x,0.264583333333333,0.27381161527725,25078,43266
TENX118,Lung,40x,0.273771219630798,0.273855837686545,11580,45087
MISC20,Lung,40x,,0.4380718287556,35112,19720
MISC19,Lung,40x,,0.441456651488973,35112,19720
MISC17,Lung,40x,,0.441498683368384,38240,21600
MISC18,Lung,40x,,0.441607507187311,35112,19720
MISC14,Lung,40x,,0.454544280620626,33264,18688
MISC15,Lung,40x,,0.455062571103527,33264,18688
MISC13,Lung,40x,,0.455136156141542,33264,18688
MISC16,Lung,40x,,0.455150875944359,33264,18688
MISC25,Lung,40x,,0.455728780340757,32832,18432
MISC29,Lung,40x,,0.45572907,16800,17136
MISC27,Lung,40x,,0.455864069622876,32832,18432
MISC31,Lung,40x,,0.455926920042182,16800,17064
MISC21,Lung,40x,,0.455926993,32832,18432
MISC24,Lung,40x,,0.456008567285422,32832,18432
MISC23,Lung,40x,,0.456100309130321,32832,18432
MISC26,Lung,40x,,0.456158076229035,32832,18432
MISC28,Lung,40x,,0.456204379562044,32832,18432
MISC30,Lung,40x,,0.456242183900128,16464,17360
MISC32,Lung,40x,,0.456273764258555,16800,17680
MISC22,Lung,40x,,0.456575673386068,32832,18432
NCBI727,Lung,40x,0.491000018756201,0.489547895,18035,17103
